AoA,CL,CD,CMz
-4.0,-0.880338,0.084462,-0.139711
-2.75,-0.728634,0.053902,-0.110027
-1.5,-0.428579,0.021769,-0.031073
-0.25,-0.017776,0.006033,0.017027
1.0,0.380624,0.012186,0.04326
2.25,0.70995,0.042168,0.124624
3.5,0.872668,0.072,0.157294
4.75,1.020381,0.106857,0.188721
6.0,1.161177,0.147272,0.222582
