AoA,CL,CD,CMz
-4.0,-0.217522,0.051906,-0.043785
-2.75,-0.217522,0.051906,-0.043785
-1.5,-0.080985,0.038674,-0.014243
-0.25,-0.013248,0.036654,0.00034
1.0,0.054402,0.037557,0.01492
2.25,0.122137,0.041389,0.029513
3.5,0.190079,0.048169,0.044136
4.75,0.258357,0.057898,0.058836
6.0,0.327193,0.070643,0.07367
