AoA,CL,CD,CMz
-4.0,-0.763043,0.05746,-0.073217
-2.75,-0.629498,0.032857,-0.060812
-1.5,-0.355778,0.015813,-0.036968
-0.25,-0.064313,0.007476,-0.006653
1.0,0.249118,0.01127,0.026387
2.25,0.545242,0.024641,0.052221
3.5,0.736128,0.048987,0.076249
4.75,0.853735,0.077861,0.09143
6.0,0.966425,0.111484,0.109599
