AoA,CL,CD,CMz
-4.0,-0.488307,0.009415,-0.006916
-2.75,-0.343367,0.007743,-0.005467
-1.5,-0.198133,0.006961,-0.004279
-0.25,-0.052148,0.006645,-0.00309
1.0,0.094411,0.006694,-0.001816
2.25,0.240701,0.007126,-0.000477
3.5,0.386592,0.008116,0.001055
4.75,0.531433,0.010131,0.002885
6.0,0.672319,0.01513,0.005484
