AoA,CL,CD,CMz
-4.0,-0.280575,0.022023,0.037301
-2.75,-0.131427,0.010133,0.041897
-1.5,0.012215,0.006912,0.043518
-0.25,0.155188,0.006186,0.044561
1.0,0.297379,0.006395,0.045369
2.25,0.43791,0.007617,0.045909
3.5,0.572561,0.011513,0.045621
4.75,0.689183,0.025729,0.042613
6.0,0.795966,0.048979,0.047145
