AoA,CL,CD,CMz
-4.0,-0.719388,0.052846,-0.055187
-2.75,-0.594035,0.028677,-0.047515
-1.5,-0.338704,0.012153,-0.026643
-0.25,-0.056711,0.00542,-0.003457
1.0,0.245152,0.008461,0.021473
2.25,0.514986,0.021158,0.044018
3.5,0.68498,0.043964,0.058404
4.75,0.779222,0.069869,0.061586
6.0,0.877893,0.100648,0.072283
