AoA,CL,CD,CMz
-4.0,-0.744792,0.038037,0.002755
-3.0,-0.557455,0.017845,0.011968
-2.0,-0.362803,0.007297,0.005995
-1.0,-0.177589,0.005372,0.000656
0.0,-0.000678,0.004913,-0.000169
1.0,0.177362,0.005301,-0.000966
2.0,0.363541,0.007116,-0.006868
3.0,0.561164,0.017998,-0.01261
4.0,0.751009,0.038799,-0.001372
