AoA,CL,CD,CMz
-4.0,-0.215217,0.059799,0.085708
-2.75,-0.172744,0.044396,0.055141
-1.5,-0.025734,0.030209,0.063115
-0.25,0.251626,0.026263,0.119957
1.0,0.462792,0.039138,0.147177
2.25,0.620939,0.059924,0.163364
3.5,0.765227,0.086754,0.183083
4.75,0.920151,0.121346,0.214211
6.0,1.07764,0.163268,0.252343
