AoA,CL,CD,CMz
-4.0,-0.516709,0.077051,-0.056358
-3.0,-0.430602,0.061067,-0.055521
-2.0,-0.34508,0.046016,-0.053736
-1.0,-0.224112,0.0331,-0.042111
0.0,0.003381,0.026479,0.002019
1.0,0.226564,0.033591,0.044952
2.0,0.346414,0.046511,0.055676
3.0,0.424303,0.060875,0.054454
4.0,0.500899,0.075787,0.051866
