AoA,CL,CD,CMz
-4.0,-0.850338,0.087462,-0.139711
-2.75,-0.698634,0.056902,-0.110027
-1.5,-0.398579,0.024769,-0.031073
-0.25,0.012224,0.009033,0.017027
1.0,0.410624,0.015186,0.043260
2.25,0.739950,0.045168,0.124624
3.5,0.902668,0.075000,0.157294
4.75,1.050381,0.109857,0.188721
6.0,1.191177,0.150272,0.222582
