AoA,CL,CD,CMz
-4.0,-0.230748,0.034773,-0.04663
-2.75,-0.158013,0.026012,-0.032014
-1.5,-0.085961,0.020551,-0.017418
-0.25,-0.014262,0.018319,-0.002851
1.0,0.057366,0.019287,0.011693
2.25,0.129196,0.023467,0.026221
3.5,0.201532,0.030906,0.040736
4.75,0.274764,0.041713,0.055207
6.0,0.349484,0.05606,0.069647
