AoA,CL,CD,CMz
-4.0,-0.430821,0.026181,-0.000816
-2.75,-0.301572,0.015064,-0.002074
-1.5,-0.167118,0.008334,-0.001985
-0.25,-0.028175,0.005539,-0.000759
1.0,0.113187,0.006484,0.000926
2.25,0.251356,0.011548,0.001622
3.5,0.38422,0.021439,0.003047
4.75,0.510854,0.03686,0.007799
6.0,0.625396,0.059244,0.024046
