AoA,CL,CD,CMz
-4.0,-0.420575,0.018023,0.037301
-2.75,-0.271427,0.006133,0.041897
-1.5,-0.127785,0.002912,0.043518
-0.25,0.015188,0.002186,0.044561
1.0,0.157379,0.002395,0.045369
2.25,0.29791,0.003617,0.045909
3.5,0.432561,0.007513,0.045621
4.75,0.549183,0.021729,0.042613
6.0,0.655966,0.044979,0.047145
