AoA,CL,CD,CMz
-4.0,-0.231485,0.035069,-0.045565
-2.75,-0.15844,0.026217,-0.031231
-1.5,-0.086165,0.020697,-0.016945
-0.25,-0.014272,0.018432,-0.002696
1.0,0.057563,0.019393,0.011534
2.25,0.129646,0.023593,0.025767
3.5,0.202331,0.031087,0.040028
4.75,0.276026,0.041984,0.054317
6.0,0.351295,0.056479,0.068574
