AoA,CL,CD,CMz
-4.0,-0.234834,0.049713,-0.02361
-2.75,-0.16497,0.040601,-0.009166
-1.5,-0.095296,0.034579,0.005275
-0.25,-0.025778,0.03164,0.019768
1.0,0.043654,0.031764,0.034338
2.25,0.113219,0.034963,0.049
3.5,0.183119,0.041254,0.063797
4.75,0.25356,0.050697,0.07874
6.0,0.324741,0.063373,0.093863
